id,P
553,0
554,0
555,0
556,0
557,0
558,1
559,0
560,0
561,0
562,0
563,0
564,0
565,1
566,0
567,0
568,0
569,1
570,0
571,1
572,0
573,0
574,0
575,0
576,0
577,0
578,0
579,0
580,0
581,0
582,0
583,0
584,0
585,0
586,0
587,0
588,0
589,0
590,0
591,0
592,0
593,0
594,0
595,0
596,0
597,0
598,1
599,1
600,0
601,0
602,0
603,1
604,0
605,0
606,1
607,0
608,0
609,0
610,0
611,1
612,1
613,1
614,0
615,1
616,1
617,0
618,0
619,0
620,0
621,0
622,0
623,0
624,0
625,0
626,0
627,1
628,0
629,0
630,0
631,0
632,0
633,1
634,0
635,0
636,0
637,0
638,0
639,0
640,1
641,0
642,0
643,0
644,0
645,0
646,0
647,0
648,0
649,0
650,0
651,0
652,0
653,0
654,0
655,1
656,0
657,0
658,0
659,1
660,0
661,0
662,1
663,0
664,1
665,0
666,0
667,1
668,0
669,0
670,1
671,1
672,0
673,0
674,1
675,0
676,1
677,0
678,0
679,0
680,0
681,0
682,0
683,1
684,1
685,0
686,0
687,0
688,0
689,0
690,0
